反照率 Albedo
临时上一逆视图 TemporaryLastInvView
地形变形最大深度 TerrainDeformationMaxDepth
地形变形裁剪偏移 TerrainDeformationScissorOffset
地形变形烧灼材质ID TerrainDeformationScorchMaterialId
地形深度模板缓冲 TerrainDepthStencilBuffer
地形世界矩阵 TerrainWtm
AO高度图纹理 TexAoHeightmap
烘焙材质图集纹理 TexBakerMaterialAtlas
笔刷纹理 TexBrushTexture
组合雾体积颜色密度纹理 TexCombinedFogVolumesColorDensity
组合雾体积参数纹理 TexCombinedFogVolumesParameters
宇宙尘埃LUT纹理 TexCosmicDustLut
当前曝光纹理 TexCurrentExposure
可变形地形遮罩纹理 TexDeformableTerrainMask
发射星云LUT纹理 TexEmissiveNebulaLut
远雾纹理 TexFarFog
远阴影纹理 TexFarShadows
远阴影体积纹理 TexFarShadowsVolume
雾体积粒子纹理 TexFogVolumeParticleTexture
G缓冲发射纹理 TexGbufferEmissive
生成高度图偏移纹理 TexGeneratedHeightmapOffset
生成高度图源纹理 TexGeneratedHeightmapSource
全局镜头污垢图纹理 TexGlobalLensDirtMap
全局辐射图纹理 TexGlobalRadianceMap
HDR SSR纹理 TexHdrSsr
热浪纹理 TexHeathazeTexture
高海拔云颜色纹理 TexHighAltitudeCloudsColor
高海拔云颜色探针纹理 TexHighAltitudeCloudsColorProbe
思维扰乱纹理 TexMindScrambleTexture
外部地图远景高度图纹理 TexOutsideMapVistaHeightmap
外部地图远景高度图频率图纹理 TexOutsideMapVistaHeightmapFrequencyMap
行星噪点纹理 TexPlanetNoise
道路方向目标纹理 TexRoadDirectionTarget
散射反照率透明度纹理 TexScatterAlbedoOpacity
散射反照率透明度数组纹理 TexScatterAlbedoOpacityArray
散射比较密度纹理 TexScatterComparisionDensity
散射密度纹理 TexScatterDensity
散射查找纹理 TexScatterLookup
散射法线数组纹理 TexScatterNormalArray
散射RSH数组纹理 TexScatterRshArray
散射次表面数组纹理 TexScatterSubsurfaceArray
屏幕效果数据纹理 TexScreenEffectDataTexture
次要地图纹理 TexSecondaryMap
飞船枢纽镜面插值源数组纹理 TexShipHubSpecularLerpFromArray
飞船枢纽镜面插值目标数组纹理 TexShipHubSpecularLerpToArray
天空盒效果纹理 TexSkyboxEffectTexture
太空探针背景纹理 TexSpaceProbeBackdrop
太空星星LUT纹理 TexSpaceStarLut
太空星星LUT临时纹理 TexSpaceStarLutTmp
SSAO缓冲纹理 TexSsaoBuffer
SSS LUT纹理 TexSssLut
太阳耀斑图像纹理 TexSunFlareImage
太阳耀斑可见性查找纹理 TexSunFlareVisibilityLookup
太阳耀斑可见性查找总和纹理 TexSunFlareVisibilityLookupSum
地形透明纹理 TexTerrainTransparent
缩略图复制图像纹理 TexThumbnailImageToCopy
远景云图集纹理 TexVistaCloudAtlas
远景云次表面图集纹理 TexVistaCloudSubsurfaceAtlas
体积云当前天气图纹理 TexVolumetricCloudCurrentWeatherMap
体积云细节噪点组合纹理 TexVolumetricCloudDetailNoiseCombined
体积云噪点组合纹理 TexVolumetricCloudNoiseCombined
体积云深度纹理 TexVolumetricCloudsDepth
体积云深度探针纹理 TexVolumetricCloudsDepthProbe
体积云上一帧纹理 TexVolumetricCloudsPrev
体积云当前天气纹理 TexVolumetricCloudsWeatherCurrent
体积当前高海拔云纹理 TexVolumetricCurrentHighAltitudeClouds
体积当前高海拔天气图纹理 TexVolumetricCurrentHighAltitudeWeatherMap
水面焦散纹理 TexWaterCaustics
水面补丁纹理 TexWaterPatch
水面渲染目标纹理 TexWaterRt
伤口LUT添加纹理 TexWoundLutToAdd
阈值淡出 ThresholdFade
缩略图卡片宽高比 ThumbnailCardAspect
缩略图卡片索引 ThumbnailCardIndex
缩略图最终化 ThumbnailFinalize
缩略图图像复制 ThumbnailImageCopy
缩略图图像渲染矩形 ThumbnailImageRenderRect
平铺采样 TileSamples
时间 Time
时间混合光源 TimeOfDayBlendLightsource
总通道数 TotalPasses
追踪通道 TracePass
三角Soup索引 TriSoupIndices
三角Soup实例 TriSoupInstances
三角Soup顶点 TriSoupVertices
UGG UgG
UI模糊Sigma UiBlurSigma
UI亮度 UiBrightness
上采样太空背景 UpsampleSpaceBackdrop
使用笔刷纹理 UseBrushTexture
UV翻转 UvFlip
VSH VSh
视图 View
晕影颜色 VignetteColor
晕影启用 VignetteEnabled
晕影属性 VignetteProperties
远景云量 VistaCloudAmount
远景云颜色 VistaCloudColor
远景环境粒子相机距离 VistaEnvironmentParticlesCameraDist
远景环境粒子间接 VistaEnvironmentParticlesIndirection
远景环境粒子参数 VistaEnvironmentParticlesParameters
远景环境粒子位置尺寸 VistaEnvironmentParticlesPositionSize
远景插值开始淡出距离 VistaLerpStartFadeDistance
远景插值开始半径 VistaLerpStartRadius
远景水面高度 VistaWaterHeight
体积云细节噪点 VolumetricCloudDetailNoise
体积云噪点 VolumetricCloudNoise
水启用 WaterEnabled
水浑浊度 WaterMurkyness
水浅色色调 WaterShallowTint
水时间 WaterTime
水面高度 WaterZHeight
天气效果强度 WeatherEffectAmount
天气效果广告牌透明度 WeatherEffectBillboardOpacity
天气效果广告牌尺寸 WeatherEffectBillboardSize
天气效果尘埃度 WeatherEffectDustiness
天气贴图插值 WeatherMapLerp
风力生成器振幅 WindGeneratorAmplitude
风力生成器方向 WindGeneratorDirection
风力生成器频率 WindGeneratorFrequency
风力生成器反向山脊 WindGeneratorInvertedRidges
风力生成器间隙度 WindGeneratorLacunarity
风力生成器最大强度 WindGeneratorMaxIntensity
风力生成器最小强度 WindGeneratorMinIntensity
风力生成器八度数 WindGeneratorOctaves
风力生成器偏移量 WindGeneratorOffset
风力生成器持久度 WindGeneratorPersistence
风力生成器山脊八度数 WindGeneratorRidgedOctaves
WLSA算法 Wlsa
世界到阴影贴图 WorldToShadowMap
世界到多重阴影贴图 WorldToShadowMaps
世界视图投影矩阵 WorldViewProj
伤口细节纹理 WoundDt
X轴影响因子 Xaff
X轴输入 Xxin
Y轴反馈 Yfeb
区域雾效色调 ZoneFogTint
区域材质散射链接器 ZoneMaterialScatterLinker
区域湿润度 ZoneWetness
